Date,,target_return
2018-04-04,AAPL,0.030693088868692486
2018-04-04,MSFT,0.018841647090853897
2018-04-04,AMZN,0.11449981213268412
2018-04-04,GOOGL,-0.0033099737814209496
2018-04-04,META,0.12198581560283706
2018-04-04,NVDA,0.029874154854728774
2018-04-04,TSLA,-0.008677787477848087
2018-04-04,JPM,-0.02891511843180805
2018-04-04,JNJ,-0.05653485924985435
2018-04-04,V,0.06161473708184051
2018-04-04,PG,-0.08887814508168657
2018-04-04,UNH,0.023439943697216137
2018-04-04,HD,0.03229793298273487
2018-04-04,MA,0.07531143493387371
2018-04-04,BAC,-0.022640204122622354
2018-04-04,XOM,0.022274610142737128
2018-04-04,CVX,0.10085004690173904
2018-04-04,KO,-0.05311617521507861
2018-04-04,PEP,-0.1141939276690489
2018-04-04,DIS,-0.021735809083408886
2018-04-05,AAPL,0.0638828050847251
2018-04-05,MSFT,0.030078912665796986
2018-04-05,AMZN,0.08899603926295852
2018-04-05,GOOGL,0.017779980756334357
2018-04-05,META,0.1083845864189783
2018-04-05,NVDA,0.07983687238951998
2018-04-05,TSLA,-0.038039771751556484
2018-04-05,JPM,-0.030971763625561533
2018-04-05,JNJ,-0.049932769464324456
2018-04-05,V,0.05736846206460666
2018-04-05,PG,-0.07229710418970126
2018-04-05,UNH,0.029895482970216714
2018-04-05,HD,0.03286777933240059
2018-04-05,MA,0.07172365503559353
2018-04-05,BAC,-0.03358427773460981
2018-04-05,XOM,0.01157536775290513
2018-04-05,CVX,0.07026167839166408
2018-04-05,KO,-0.04595553112690254
2018-04-05,PEP,-0.10485024287045153
2018-04-05,DIS,-0.009435577261970862
2018-04-06,AAPL,0.09969945176377015
2018-04-06,MSFT,0.06636552830970399
2018-04-06,AMZN,0.13870327277385197
2018-04-06,GOOGL,0.049023056696697376
2018-04-06,META,0.13212468193384241
2018-04-06,NVDA,0.16064709244096886
2018-04-06,TSLA,0.011597079179885172
2018-04-06,JPM,0.0027106326243098167
2018-04-06,JNJ,-0.03524818048201728
2018-04-06,V,0.09849748093985466
2018-04-06,PG,-0.07374067854128419
2018-04-06,UNH,0.04380797380008583
2018-04-06,HD,0.05231353480405687
2018-04-06,MA,0.11420362288659902
2018-04-06,BAC,0.00033378463015520943
2018-04-06,XOM,0.038328011431342235
2018-04-06,CVX,0.08843815086893514
2018-04-06,KO,-0.040530277972560036
2018-04-06,PEP,-0.1012636812992821
2018-04-06,DIS,0.021200725476734572
2018-04-09,AAPL,0.09416863770384354
2018-04-09,MSFT,0.05554391757945876
2018-04-09,AMZN,0.13250312926718255
2018-04-09,GOOGL,0.037740824040786825
2018-04-09,META,0.13290698410688262
2018-04-09,NVDA,0.1624285014810909
2018-04-09,TSLA,0.04249457554619962
2018-04-09,JPM,0.005223095616848639
2018-04-09,JNJ,-0.05308378146402981
2018-04-09,V,0.09368842391736543
2018-04-09,PG,-0.07745728672468499
2018-04-09,UNH,0.0419198055893073
2018-04-09,HD,0.07250663190188034
2018-04-09,MA,0.11857923825904981
2018-04-09,BAC,0.0020761168429630494
2018-04-09,XOM,0.04301025347385212
2018-04-09,CVX,0.09121464689681402
2018-04-09,KO,-0.04611546232123065
2018-04-09,PEP,-0.11504956317204307
2018-04-09,DIS,0.020916057302571067
2018-04-10,AAPL,0.08130023629096583
2018-04-10,MSFT,0.043720852764823404
2018-04-10,AMZN,0.11960563144922087
2018-04-10,GOOGL,0.05060246563563897
2018-04-10,META,0.10676199709161427
2018-04-10,NVDA,0.1222498049507057
2018-04-10,TSLA,0.007059414275376152
2018-04-10,JPM,0.007989432838734878
2018-04-10,JNJ,-0.05199644766399081
2018-04-10,V,0.08368466346195635
2018-04-10,PG,-0.06796902780095926
2018-04-10,UNH,0.010590671531407247
2018-04-10,HD,0.07424870833951491
2018-04-10,MA,0.09099329905670883
2018-04-10,BAC,0.007875451197724814
2018-04-10,XOM,0.03713713947808883
2018-04-10,CVX,0.08283743176058977
2018-04-10,KO,-0.050260070637774046
2018-04-10,PEP,-0.12098484434907131
2018-04-10,DIS,-0.01382563270274384
2018-04-11,AAPL,0.10197280299250666
2018-04-11,MSFT,0.06583837566396222
2018-04-11,AMZN,0.1275568480431657
2018-04-11,GOOGL,0.07844262246930067
2018-04-11,META,0.11550024050024055
2018-04-11,NVDA,0.14977269276457394
2018-04-11,TSLA,0.01359286212740507
2018-04-11,JPM,0.033268059249420334
2018-04-11,JNJ,-0.03285645535284587
2018-04-11,V,0.09358462131566947
2018-04-11,PG,-0.056758418140837485
2018-04-11,UNH,0.05312084324237154
2018-04-11,HD,0.08284130930184364
2018-04-11,MA,0.120153817807918
2018-04-11,BAC,0.03318155630308306
2018-04-11,XOM,0.055397236040541475
2018-04-11,CVX,0.08017604385175003
2018-04-11,KO,-0.04120977094235656
2018-04-11,PEP,-0.10508052270813284
2018-04-11,DIS,0.008670638158968513
2018-04-12,AAPL,0.08724023619095833
2018-04-12,MSFT,0.043997281666632304
2018-04-12,AMZN,0.1068829823955817
2018-04-12,GOOGL,0.06371681073434843
2018-04-12,META,0.1410874473668151
2018-04-12,NVDA,0.08490315779319668
2018-04-12,TSLA,0.02373847888071068
2018-04-12,JPM,0.004064622246440441
2018-04-12,JNJ,-0.024388971489683553
2018-04-12,V,0.08830590294930807
2018-04-12,PG,-0.048035151594908565
2018-04-12,UNH,0.06260720411663812
2018-04-12,HD,0.0977958498725271
2018-04-12,MA,0.10607490052914392
2018-04-12,BAC,0.008792252665774658
2018-04-12,XOM,0.06325148546544579
2018-04-12,CVX,0.08896619044861565
