Date,AAPL,MSFT,AMZN,GOOGL,META,NVDA,TSLA,JPM,JNJ,V,PG,UNH,HD,MA,BAC,XOM,CVX,KO,PEP,DIS
2018-02-12,38.3883,82.5968,69.3665,52.5759,176.4,5.6396,21.0487,97.1802,114.148,112.654,71.5021,201.18,163.56,163.963,27.9003,59.3588,91.5429,37.5057,96.7702,100.55
2018-02-13,38.7785,83.2285,70.7255,52.5201,173.15,5.75291,21.5773,97.7824,113.864,112.569,71.653,202.005,163.276,165.847,27.9524,59.2665,90.9733,37.6916,96.9054,101.25
2018-02-14,39.4921,84.5315,72.5525,53.4413,179.52,5.9704,21.4873,100.042,113.609,114.942,70.9299,203.942,164.12,168.161,28.6859,59.392,91.2541,37.6163,94.2987,101.73
2018-02-15,40.8192,86.2525,73.088,54.3709,179.96,6.0965,22.271,100.454,114.981,116.535,72.4511,201.473,164.66,170.294,28.8744,59.1965,91.2745,38.1957,95.9564,102.29
2018-02-16,40.6854,85.6372,72.4345,54.5772,177.36,6.0306,22.366,99.7377,116.668,116.114,72.6188,204.437,166.171,171.241,28.6594,59.4513,90.9469,38.3591,95.9859,103.6
2018-02-20,40.5474,86.3092,73.418,54.9802,176.01,6.1594,22.3173,99.6782,114.658,116.272,71.511,202.024,165.926,170.942,28.626,58.8385,90.0252,37.5214,94.6212,103.06
2018-02-21,40.3613,85.1626,74.146,55.4864,177.91,5.97268,22.22,100.17,113.814,114.755,70.5442,200.685,162.688,167.971,28.5711,58.1724,88.4539,36.9694,93.3458,102.16
2018-02-22,40.7021,85.3894,74.267,55.2945,178.99,5.99207,23.088,99.9934,113.814,114.709,71.0709,202.415,164.837,168.589,28.4109,58.9233,89.1376,37.121,94.4311,102.35
2018-02-23,41.4127,87.5588,75.0,56.2007,183.29,6.08591,23.47,102.007,115.649,117.14,71.2544,205.15,167.368,171.341,28.7134,60.2225,91.3127,37.5655,94.7987,104.3
2018-02-26,42.2288,88.8225,76.0975,56.9784,184.93,6.10219,23.8233,103.284,116.472,118.693,71.7675,208.644,167.477,173.404,29.066,61.2387,92.9561,37.5555,95.8809,106.78
2018-02-27,42.0937,87.6844,75.599,55.6736,181.46,6.08921,23.3993,102.056,116.09,117.56,70.8056,207.249,164.386,171.51,28.9844,60.2001,92.1378,37.2072,95.832,101.98
2018-02-28,42.0326,87.2842,75.6225,54.9966,178.32,5.98837,22.8707,100.445,114.521,117.15,69.0308,201.588,161.961,171.341,28.7792,58.8318,90.7742,36.8676,94.8379,100.32
2018-03-01,41.2935,86.4315,74.6725,53.377,175.94,5.74592,22.062,98.6274,112.236,114.726,69.1886,200.068,159.625,169.117,28.3275,58.4127,90.8835,37.0438,94.1281,99.75
2018-03-02,41.5763,86.6159,75.0125,54.0112,176.62,5.85328,22.3413,98.5291,113.589,115.088,69.894,200.742,158.596,170.623,28.462,58.6849,90.549,37.2894,94.9456,100.16
2018-03-05,41.7163,87.1658,76.1805,54.5402,180.4,5.83112,22.2233,100.062,114.432,116.144,70.5895,203.583,161.5,174.042,28.9138,59.2451,91.7798,37.4372,95.2711,100.57
2018-03-06,41.6799,86.868,76.882,54.8461,179.78,5.99237,21.88,100.14,113.059,115.373,70.3507,201.607,161.411,173.075,28.8941,59.174,92.1749,37.4725,95.4045,102.05
2018-03-07,41.3004,87.3709,77.25,55.5506,183.71,5.98467,22.1533,99.7575,113.795,116.114,69.5951,202.584,159.586,174.69,28.9569,57.6813,92.3484,37.3784,95.6388,100.74
2018-03-08,41.7458,87.9013,77.593,56.2651,182.34,5.9681,21.94,99.7674,116.462,116.476,70.3053,200.988,159.037,174.72,28.9756,57.5743,91.9359,37.9128,97.6132,101.17
2018-03-09,42.4651,89.8656,78.9445,57.8324,185.23,6.07124,21.8113,102.656,118.002,118.615,70.5895,201.607,162.815,178.628,29.4441,57.9157,95.0775,38.231,97.9858,101.85
2018-03-12,42.8754,90.0795,79.9195,58.0859,184.76,6.18037,23.034,102.322,116.933,118.364,70.2117,199.205,160.607,177.95,29.5501,58.4438,94.7255,37.9833,98.1524,102.28
2018-03-13,42.4631,87.8839,79.409,56.7897,181.88,6.13006,22.7893,101.094,118.434,117.395,70.0874,202.966,159.411,176.434,29.119,57.8924,94.4328,38.0157,98.9269,100.88
2018-03-14,42.1045,87.3613,79.55,57.237,184.19,6.1552,21.7753,99.9636,116.688,116.809,69.455,201.568,158.556,175.567,28.9235,57.1669,93.3853,37.6721,98.0249,101.04
2018-03-15,42.154,87.6679,79.116,57.3226,183.86,6.16987,21.7067,100.219,117.326,117.6,69.1649,205.225,159.154,176.374,28.8843,57.8048,93.755,37.5782,97.5211,100.4
2018-03-16,42.0079,88.0606,78.584,56.5161,185.09,6.19836,21.4233,100.396,117.904,118.635,69.4274,203.789,159.929,177.96,28.9482,58.3494,93.598,37.3961,97.2093,100.04
2018-03-19,41.3634,86.4674,77.2465,54.8048,172.56,5.96371,20.904,99.5702,114.844,117.405,69.1551,201.273,158.281,176.006,28.7792,57.5967,92.3954,37.2259,96.1005,98.694
2018-03-20,41.3516,86.6912,79.3255,54.5921,168.15,6.17587,20.7033,99.6683,115.678,119.006,68.8453,202.811,159.224,177.92,28.7792,57.4732,92.8733,37.1377,95.6878,98.565
2018-03-21,40.4084,86.0865,79.093,54.5024,169.39,6.15071,21.102,99.7674,115.658,117.413,67.7315,199.252,159.115,176.176,28.6761,58.2882,94.9528,37.0017,94.6957,99.017
2018-03-22,39.8428,83.5816,77.246,52.4673,164.89,5.98487,20.6067,95.6161,112.314,114.337,67.1751,192.471,156.672,171.111,27.4898,57.09,92.2197,36.7941,93.9692,97.836
2018-03-23,38.9223,81.153,74.778,51.1422,159.39,5.76489,20.1027,93.0422,110.284,111.475,66.7371,190.105,153.551,167.493,26.2494,56.6193,91.6433,36.4243,92.442,95.831
2018-03-26,40.7661,87.2937,77.793,52.5141,160.06,6.04996,20.2787,95.9257,112.324,114.962,67.1751,195.948,157.633,172.736,27.3936,57.48,93.5521,36.7356,92.9919,97.885
2018-03-27,39.7176,83.2843,74.8525,50.1652,152.22,5.58017,18.612,94.0521,112.177,111.866,68.3895,194.92,156.093,168.161,26.5628,57.2457,93.003,36.9038,93.7144,96.628
2018-03-28,39.2819,83.2101,71.571,50.0775,153.03,5.47712,17.1853,93.9205,112.373,111.465,69.3139,195.406,156.171,166.067,26.4459,56.5552,90.9176,37.2757,95.0516,95.831
2018-03-29,39.5915,84.9614,72.367,51.6698,159.79,5.73067,17.742,95.6349,112.991,113.975,69.6996,191.359,159.301,170.753,26.9879,57.9537,92.5036,37.3726,95.0222,97.679
2018-04-02,39.3284,82.3986,68.5995,50.4487,155.39,5.46972,16.832,93.7898,109.843,112.782,68.0462,194.238,154.493,167.263,26.3772,56.875,91.0356,36.7169,93.2056,95.947
2018-04-03,39.7304,83.5068,69.6025,50.75,156.11,5.57617,17.8353,95.0847,113.177,113.575,68.9785,200.857,155.298,168.111,26.6265,58.2726,93.1424,37.3296,94.1937,96.687
2018-04-04,40.4912,85.9479,70.5285,51.2995,155.1,5.59815,19.1293,96.5239,114.991,114.161,69.4974,204.608,158.586,169.297,26.8858,58.1559,92.8537,38.0675,95.9368,98.179
2018-04-05,40.7731,85.9938,72.5875,51.4455,159.34,5.47792,20.3813,97.7923,115.275,115.499,69.2794,204.847,160.096,171.38,27.2836,59.0478,95.1244,38.2065,96.2859,99.305
2018-04-06,39.7274,83.9924,70.2615,50.3151,157.2,5.30187,19.9533,95.3283,112.942,112.145,68.9538,200.306,155.887,165.669,26.6639,58.1559,93.0967,37.7915,95.1664,97.591
2018-04-09,40.1227,84.4935,70.304,50.8203,157.93,5.33053,19.3107,96.4945,114.178,113.173,68.714,199.166,154.179,166.277,26.8771,58.1559,94.0759,37.7162,95.232,96.959
2018-04-10,40.8818,86.4576,71.811,51.6378,165.04,5.6396,20.3133,98.3424,114.854,115.039,68.9005,202.82,155.033,170.573,27.427,59.8646,96.4069,37.8551,95.2516,98.585
2018-04-11,40.6883,85.5094,71.3525,51.0679,166.32,5.59815,20.062,96.6693,114.285,114.132,68.8127,198.472,154.464,168.251,26.9035,60.1456,96.7259,37.8551,94.6379,98.032
2018-04-12,41.0854,87.1122,72.425,51.6771,163.87,5.80532,19.6053,99.099,115.011,115.383,68.3895,200.552,154.935,170.653,27.5811,59.9812,96.7064,37.8874,94.3085,97.63
2018-04-13,41.2305,86.6443,71.5395,51.6148,164.52,5.72847,20.0227,96.3982,115.188,115.069,68.9005,200.581,154.415,170.125,26.8161,60.4637,97.2926,38.2995,95.128,97.591
2018-04-16,41.4856,87.6591,72.075,52.1161,164.83,5.72827,19.414,96.3107,116.178,116.144,69.1107,205.984,155.867,169.725,26.9329,61.0073,97.9169,38.4462,95.7075,97.485
2018-04-17,42.0593,89.4279,75.1915,53.7731,168.66,5.87823,19.1793,96.3107,115.119,117.952,68.9538,213.364,156.318,174.092,27.0322,60.8439,98.5218,38.6185,94.7987,99.365
2018-04-18,41.9637,89.7738,76.392,53.5753,166.36,5.84908,19.5567,95.5395,112.638,118.585,68.7516,211.427,160.735,175.178,26.5725,61.5353,100.423,38.2995,93.1498,98.427
2018-04-19,40.7731,89.464,77.8455,54.2758,168.1,5.66703,20.0053,97.6479,112.471,118.107,66.5052,210.838,158.262,174.73,27.1568,61.689,100.346,38.1291,91.9233,98.121
2018-04-20,39.1007,88.4308,76.3745,53.6714,166.28,5.65935,19.3493,97.414,111.677,118.334,65.4861,210.219,158.193,172.886,27.2315,61.3642,99.2042,37.6378,89.2253,97.485
2018-04-23,38.9914,88.7569,75.893,53.4965,165.84,5.54004,18.8913,96.9405,111.834,118.565,64.7748,209.574,158.772,171.261,27.2836,61.8066,100.238,37.8453,89.3068,97.395
2018-04-24,38.4395,86.6816,73.0045,50.9473,159.69,5.47342,18.8973,96.5043,111.284,115.568,64.3308,209.47,157.536,169.117,27.1668,60.8585,99.3991,37.0615,88.3166,96.725
2018-04-25,38.612,85.9284,73.0085,50.9648,159.69,5.36151,18.7127,96.1379,111.765,115.519,64.1513,210.081,158.546,168.36,27.1215,61.7513,99.536,36.5094,88.0754,98.368
2018-04-26,38.7489,87.7403,75.898,51.977,174.16,5.57287,19.032,96.2253,112.864,121.099,64.5529,211.969,165.994,173.922,27.0587,62.8084,100.755,36.7854,89.9136,97.095
2018-04-27,38.3015,89.1935,78.631,51.3862,173.59,5.60044,19.605,95.6161,113.109,120.052,64.6041,214.799,166.632,171.769,27.1304,60.4228,102.687,37.268,88.5587,96.502
2018-04-30,38.9953,87.0545,78.3065,50.745,172.0,5.56528,19.5933,95.0847,111.53,120.904,64.1897,211.427,165.141,174.032,26.9232,60.3917,101.487,37.1818,87.8893,97.571
2018-05-01,39.9018,88.4308,79.113,51.8495,173.86,5.62062,19.9947,95.0847,111.119,121.52,63.8533,211.834,164.994,175.946,26.9506,59.7722,101.263,36.6474,86.3118,97.309
2018-05-02,41.6572,87.0449,78.484,51.1172,176.07,5.59984,20.0767,94.3095,108.882,120.415,62.9487,208.796,166.171,181.408,26.6168,59.6555,101.789,36.1923,84.6579,96.881
2018-05-03,41.734,87.5673,78.604,51.1297,174.02,5.76539,18.9633,93.7329,108.49,121.195,63.3206,209.404,163.708,182.047,26.2771,59.4513,102.218,36.0455,84.9814,96.045
2018-05-04,43.3778,88.5804,79.0475,52.3602,176.61,5.91526,19.606,94.7635,109.519,122.125,64.2707,210.971,165.358,183.672,26.3673,59.7313,101.808,36.4507,86.1903,98.368
2018-05-07,43.6882,89.5666,80.007,52.7817,177.97,6.1536,20.1847,95.5867,108.961,123.191,63.8691,209.081,164.042,184.589,26.6728,60.3849,101.33,36.2598,85.5295,99.66
2018-05-08,43.901,89.1866,79.6195,52.7383,178.92,6.19636,20.1313,96.9985,108.117,123.776,63.3916,207.515,165.358,185.994,26.9329,60.6572,102.657,35.9769,84.2756,98.987
2018-05-09,44.2055,90.2376,80.4,54.2508,182.66,6.32904,20.4567,99.1281,108.882,124.666,64.2174,204.968,166.544,186.094,27.643,62.0878,104.393,35.9525,83.7276,97.222
2018-05-10,44.8374,91.1392,80.454,55.0738,185.53,6.4366,20.3347,99.8853,110.53,124.813,64.907,209.015,167.26,188.467,27.7962,63.4775,104.481,36.2951,84.6933,98.882
2018-05-11,44.6697,90.9449,80.166,54.9698,186.99,6.29821,20.0707,99.5018,112.206,125.572,65.1044,213.108,170.087,188.755,27.8236,63.7751,105.31,36.2598,84.8314,99.265
2018-05-14,44.5644,91.2516,80.077,55.1302,186.64,6.31886,19.4647,99.5315,111.166,125.005,65.0224,217.219,170.784,187.569,28.0034,64.2058,105.759,36.1757,84.5893,99.62
2018-05-15,44.1573,90.5942,78.806,54.0476,184.32,6.07672,18.9453,98.7748,110.314,124.899,64.7284,214.181,167.997,187.45,28.0938,64.1757,105.232,35.8987,84.2816,100.09
2018-05-16,44.5723,90.8258,79.364,54.0088,183.2,6.08791,19.0987,99.0694,110.53,124.705,65.2454,216.212,166.564,187.829,27.9494,64.3556,105.076,35.7548,84.6227,102.15
2018-05-17,44.2904,89.9183,79.088,53.8677,183.76,6.13006,18.9693,98.7158,109.215,123.989,65.6271,217.279,165.622,186.652,27.7245,64.2457,105.915,36.3978,85.258,101.47
