Date,,mom_1m,mom_3m,vol_20d
2018-04-04,AAPL,-0.029367417532235596,0.00029150629703011965,0.017504155175276308
2018-04-04,MSFT,-0.013972223050783716,0.07929461758508372,0.026689619005541308
2018-04-04,AMZN,-0.07419221454309177,0.18634987384356583,0.024152584860324074
2018-04-04,GOOGL,-0.05941855732102186,-0.04073996506987898,0.021891025135796344
2018-04-04,META,-0.1402439024390244,-0.14507772020725385,0.02573136995853663
2018-04-04,NVDA,-0.03995287354744881,0.13558496881180582,0.03144812959329089
2018-04-04,TSLA,-0.13922324767248784,-0.10479813933463433,0.041302171055936206
2018-04-04,JPM,-0.03535907737202937,0.03359032841830234,0.017888697833905117
2018-04-04,JNJ,0.004884997203579378,-0.05732719045120671,0.01699223110204735
2018-04-04,V,-0.017073632731781307,0.04790622533091016,0.01589345406868668
2018-04-04,PG,-0.015471139475417783,-0.12132713645604698,0.010693036763039324
2018-04-04,UNH,0.005034801530579669,0.03796595036626704,0.017733386943244642
2018-04-04,HD,-0.018043343653250665,-0.05096856429866603,0.01515404726384633
2018-04-04,MA,-0.027263534089472685,0.14502820349804524,0.017039060738301384
2018-04-04,BAC,-0.07013951815396102,0.0029993956441611846,0.020601175183696037
2018-04-04,XOM,-0.01838464278058438,-0.1104641024935068,0.014558897798705955
2018-04-04,CVX,0.01170083177344039,-0.09386271371691768,0.016196671083759263
2018-04-04,KO,0.016836195014584554,-0.02000535466963227,0.009659933324710953
2018-04-04,PEP,0.006987428506651128,-0.05984869272078708,0.01106978156449735
2018-04-04,DIS,-0.023774485433031622,-0.09703853582268007,0.01227295140369302
2018-04-05,AAPL,-0.02175629020223191,0.007427265427141894,0.01749585358427996
2018-04-05,MSFT,-0.01006354468849291,0.07487681773524613,0.02665341284247503
2018-04-05,AMZN,-0.055858328347337505,0.20557216409234358,0.02521443779896982
2018-04-05,GOOGL,-0.06200258541628301,-0.053943717140287895,0.021620021029036127
2018-04-05,META,-0.11369451551896759,-0.13716358910488968,0.02608185995237087
2018-04-05,NVDA,-0.08585084031860513,0.042545538285275075,0.03171581733662333
2018-04-05,TSLA,-0.06849634369287017,-0.036345153664302576,0.04414194981764888
2018-04-05,JPM,-0.02344417815058919,0.046127365872809634,0.018181770954498428
2018-04-05,JNJ,0.01960038563935651,-0.0640224098733354,0.016947050344759882
2018-04-05,V,0.0010921099390670541,0.04991455166896963,0.016056591279968543
2018-04-05,PG,-0.015227993467016088,-0.12303224859111794,0.010444135363510184
2018-04-05,UNH,0.016070870555089822,0.028472305900309358,0.017709235889606274
2018-04-05,HD,-0.008146904486063478,-0.04680364617134136,0.015107705901266743
2018-04-05,MA,-0.009793442149357179,0.14460889078863004,0.017146229994049245
2018-04-05,BAC,-0.055738022641300566,0.02128392288976233,0.020970701331839564
2018-04-05,XOM,-0.002132693412647435,-0.11423959774028913,0.013776564457925211
2018-04-05,CVX,0.03199894982256568,-0.07828766326886549,0.01706204084553663
2018-04-05,KO,0.019587697644939617,-0.014239493890356725,0.009645950710142839
2018-04-05,PEP,0.009238557929657443,-0.05370122850122849,0.01108485306866902
2018-04-05,DIS,-0.026898579127878408,-0.09053026833959144,0.01233206840101509
2018-04-06,AAPL,-0.038086798190816507,-0.02303025533704328,0.018143863593914553
2018-04-06,MSFT,-0.03866848115333599,0.04068582445263047,0.027079204725534347
2018-04-06,AMZN,-0.09046601941747578,0.16169273502860348,0.025971243755638206
2018-04-06,GOOGL,-0.0942474068686927,-0.07851346376787705,0.0216265318144877
2018-04-06,META,-0.14430352185509776,-0.14718168502142903,0.026124396591620552
2018-04-06,NVDA,-0.11409150379218913,0.003701025307061956,0.03233310068600873
2018-04-06,TSLA,-0.0993080037737043,-0.04869676324333605,0.04430161032166174
2018-04-06,JPM,-0.04439966919780458,0.005376587902149899,0.018975717004103575
2018-04-06,JNJ,-0.00749593567379947,-0.08289078359723923,0.016686254787806443
2018-04-06,V,-0.03418192466024772,0.015622169896757798,0.017276586326353982
2018-04-06,PG,-0.009214729197888905,-0.1332704009613317,0.010193226541767374
2018-04-06,UNH,-0.011244718240334795,0.0011895955375171852,0.01835036589664617
2018-04-06,HD,-0.023178724950810303,-0.07918271389079223,0.016225554021432994
2018-04-06,MA,-0.05164004808517941,0.09250075836509675,0.018617349447331125
2018-04-06,BAC,-0.07918665326744223,-0.014768914704621716,0.02141668842384108
2018-04-06,XOM,0.008227969896656306,-0.12883930925388865,0.014244923146014726
2018-04-06,CVX,0.008103009905964909,-0.09510308025777359,0.017779304706369167
2018-04-06,KO,0.011051837424822963,-0.038518782358703096,0.009478928026211031
2018-04-06,PEP,-0.004939417893156439,-0.06945017551750787,0.010303440300971177
2018-04-06,DIS,-0.0312586857256304,-0.10590013742556126,0.012810901856472918
2018-04-09,AAPL,-0.03888055804416257,-0.02430086085307126,0.01780078446111683
2018-04-09,MSFT,-0.03876848237739383,0.03407951887738059,0.02654887566188887
2018-04-09,AMZN,-0.09393888623973812,0.14395430951722354,0.025487725580991837
2018-04-09,GOOGL,-0.0967704669502053,-0.0812398307842499,0.020525778368669752
2018-04-09,META,-0.13387079083031694,-0.15477655873695473,0.025724270391076044
2018-04-09,NVDA,-0.10682964427539743,0.0005987978991390808,0.03200199367270782
2018-04-09,TSLA,-0.11984047402005471,-0.08503077426049377,0.04475539467664637
2018-04-09,JPM,-0.03280530513975499,0.024801612588042365,0.01787175335190318
2018-04-09,JNJ,-0.019611547114080197,-0.08040366942920885,0.016588608177143523
2018-04-09,V,-0.028357773275181075,0.0011942886462958935,0.016829600264991494
